Name,GroupName,IsCollision,IsTrigger,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,HitPoint,AttackPower,MoveSpeed,SearchDistance,ModelRotSpeed,EventType,ThisEventId,CallEventId
Wall,None,1,0,80,0,95,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,70,0,95,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,90,0,95,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,90,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,80,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
EventWall,None,1,1,90,0,75,0,0,0,500,500,500,1,1,1,1,1,SpawnEnemy,-1,4
EventWall,None,1,0,75,0,90,0,270,0,500,500,500,1,1,1,1,1,DefeatEnemy,4,-1
EventWall,None,1,0,75,0,80,0,270,0,500,500,500,1,1,1,1,1,DefeatEnemy,4,-1
EnemySpawn,EnemyWeak,0,0,79.4,0,84.22,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,4,-1
EnemySpawn,EnemyWeak,0,0,83.67,0,89.36,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,4,-1
EnemySpawn,EnemyWeak,0,0,92.56,0,83.96,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,4,-1
EnemySpawn,EnemyWeak,0,0,90.14,0,88.51,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,4,-1
Wall,None,1,0,25,0,90,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,25,0,100,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,30,0,105,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,30,0,65,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,40,0,65,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,40,0,105,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,50,0,105,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,50,0,65,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,55,0,70,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,55,0,100,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,25,0,70,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,25,0,80,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
EventWall,None,1,1,55,0,85,0,270,0,1000,500,500,1,1,1,1,1,SpawnEnemy,-1,5
EnemySpawn,EnemyWeak,0,0,45.08953,0,72.23524,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,30.63,0,74.3,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,27.5,0,81.97,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,27.77,0,90.28,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,32.04,0,97.42,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,39.99,0,100.28,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,38.43,0,77.83,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyWeak,0,0,35.8,0,90.83,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
EnemySpawn,EnemyBoss,0,0,35,0,80,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,5,-1
